"id","name","leagueId","formation","mentality","passing","tackling","attacking_focus","creative_freedom","balance","reputation","stadiumCapacity","trainingFacilityLevel","aiPlaystyleProfileId","aiPlaystyleLocked","lastAIMarketProcessedDate","lastDivisionChangeSeason"
cmny0jd6110omohpbif00ocjz,West Ham United,cmny0jd5n10niohpbgd8m2q9n,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,6220028,48,50000,1,physical_duelists,0,"1,770,768,000,000",
cmny0jd6210ooohpbvnizn2nn,Wolves,cmny0jd5n10niohpbgd8m2q9n,"4-5-1",ULTRA_DEFENSIVE,DIRECT,NORMAL,WINGS,NORMAL,8569944,46,50000,1,low_block_counter,0,"1,770,768,000,000",
cmny0jd6210oqohpb2o7y2k4o,Leeds United,cmny0jd5o10njohpb3mflbifg,"4-4-2",ATTACKING,MIXED,NORMAL,CENTER,MAXIMUM,6291786,47,50000,1,galactico_star_hunt,0,"1,771,545,600,000",
cmny0jd6210osohpbtb2oage0,Sunderland,cmny0jd5o10njohpb3mflbifg,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,7908837,45,50000,1,physical_duelists,0,"1,771,545,600,000",
cmny0jd6310ouohpbrzvpyiy3,Burnley,cmny0jd5o10njohpb3mflbifg,"4-4-2",NORMAL,DIRECT,NORMAL,MIXED,NORMAL,7175975,51,50000,1,moneyball_value,0,"1,770,422,400,000",
cmny0jd6410owohpbvpof588i,Sheffield United,cmny0jd5o10njohpb3mflbifg,"4-4-2",NORMAL,MIXED,NORMAL,MIXED,NORMAL,7943089,43,50000,1,balanced_control,0,"1,770,854,400,000",
cmny0jd6410oyohpbsw3ji11v,Middlesbrough,cmny0jd5o10njohpb3mflbifg,"4-5-1",ULTRA_DEFENSIVE,DIRECT,NORMAL,WINGS,NORMAL,4072193,47,50000,1,low_block_counter,0,"1,771,545,600,000",
cmny0jd6510p0ohpb9e6osm0f,West Bromwich Albion,cmny0jd5o10njohpb3mflbifg,"4-4-2",NORMAL,MIXED,NORMAL,MIXED,NORMAL,5948089,49,50000,1,balanced_control,0,"1,771,632,000,000",
cmny0jd6510p2ohpb3an3b9c5,Norwich City,cmny0jd5o10njohpb3mflbifg,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,3349052,48,50000,1,physical_duelists,0,"1,771,286,400,000",
cmny0jd6610p4ohpbmk9ogr68,Watford,cmny0jd5o10njohpb3mflbifg,"4-4-2",NORMAL,DIRECT,NORMAL,MIXED,NORMAL,6974152,53,50000,1,moneyball_value,0,"1,771,286,400,000",
cmny0jd6610p6ohpb1z2zc0wb,Coventry City,cmny0jd5o10njohpb3mflbifg,"4-5-1",ULTRA_DEFENSIVE,DIRECT,NORMAL,WINGS,NORMAL,6283301,48,50000,1,low_block_counter,0,"1,771,632,000,000",
cmny0jd6710p8ohpbmu58rkgs,Stoke City,cmny0jd5o10njohpb3mflbifg,"4-4-2",ATTACKING,MIXED,NORMAL,CENTER,MAXIMUM,5994225,45,50000,1,galactico_star_hunt,0,"1,771,372,800,000",
cmny0jd6810paohpbrogwt1gb,Derby County,cmny0jd5o10njohpb3mflbifg,"4-4-2",NORMAL,MIXED,NORMAL,MIXED,NORMAL,5552303,49,50000,1,balanced_control,0,"1,770,422,400,000",
cmny0jd6810pcohpb65zh2frl,Blackburn Rovers,cmny0jd5o10njohpb3mflbifg,"4-5-1",DEFENSIVE,DIRECT,NORMAL,WINGS,MAXIMUM,5578835,49,50000,1,wing_counter_direct,0,"1,770,422,400,000",
cmny0jd6910peohpb9lt0tk26,Portsmouth,cmny0jd5o10njohpb3mflbifg,"4-3-3",ATTACKING,MIXED,HARD,WINGS,MAXIMUM,1617107,42,50000,1,gegenpress_intense,0,"1,770,681,600,000",
cmny0jd6910pgohpb3xokohq2,Hull City,cmny0jd5o10njohpb3mflbifg,"4-3-3",ATTACKING,MIXED,SOFT,WINGS,MAXIMUM,4610415,45,50000,1,youth_development,0,"1,771,632,000,000",
cmny0jd6a10piohpba2jtflvt,Swansea City,cmny0jd5o10njohpb3mflbifg,"4-4-2",ATTACKING,MIXED,NORMAL,CENTER,MAXIMUM,4143951,51,50000,1,galactico_star_hunt,0,"1,770,681,600,000",
cmny0jd6a10pkohpbiqggkmkm,Real Madrid,cmny0jd5o10njohpb3mflbifg,"4-3-3",NORMAL,SHORT,SOFT,CENTER,RESTRICTED,1929356,53,50000,1,possession_short_build,0,"1,771,286,400,000",
cmny0jd6b10pmohpbq2qgb2v1,Barcelona,cmny0jd5o10njohpb3mflbifg,"4-5-1",DEFENSIVE,SHORT,SOFT,CENTER,RESTRICTED,4188187,48,50000,1,defensive_steel,0,"1,771,459,200,000",
cmny0jd6b10poohpb2lq1aox5,Atletico Madrid,cmny0jd5o10njohpb3mflbifg,"4-4-2",ATTACKING,MIXED,NORMAL,CENTER,MAXIMUM,6478325,48,50000,1,galactico_star_hunt,0,"1,770,336,000,000",
cmny0jd6c10pqohpbnqtln8h7,Girona,cmny0jd5o10njohpb3mflbifg,"4-3-3",NORMAL,SHORT,SOFT,CENTER,RESTRICTED,3217057,52,50000,1,possession_short_build,0,"1,770,422,400,000",
cmny0jd6c10psohpbukw2ltwt,Athletic Bilbao,cmny0jd5o10njohpb3mflbifg,"4-3-3",ATTACKING,MIXED,SOFT,WINGS,MAXIMUM,7507312,48,50000,1,youth_development,0,"1,770,422,400,000",
cmny0jd6d10puohpbqoaq1o9h,Real Sociedad,cmny0jd5o10nkohpby199di9s,"4-5-1",DEFENSIVE,SHORT,SOFT,CENTER,RESTRICTED,5253676,49,50000,1,defensive_steel,0,"1,771,459,200,000",
cmny0jd6d10pwohpbsxcpxk8y,Real Betis,cmny0jd5o10nkohpby199di9s,"4-3-3",ATTACKING,MIXED,HARD,WINGS,MAXIMUM,2427835,51,50000,1,gegenpress_intense,0,"1,770,681,600,000",
cmny0jd6d10pyohpbjnjj6f0r,Sevilla,cmny0jd5o10nkohpby199di9s,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,5650139,52,50000,1,physical_duelists,0,"1,770,422,400,000",
cmny0jd6e10q0ohpbfgkjo02d,Valencia,cmny0jd5o10nkohpby199di9s,"4-4-2",NORMAL,MIXED,NORMAL,MIXED,NORMAL,3106188,52,50000,1,balanced_control,0,"1,771,459,200,000",
cmny0jd6f10q2ohpboaenqmfb,Villarreal,cmny0jd5o10nkohpby199di9s,"4-5-1",DEFENSIVE,SHORT,SOFT,CENTER,RESTRICTED,7142110,43,50000,1,defensive_steel,0,"1,770,681,600,000",
cmny0jd6f10q4ohpbjek1tjpw,Bayern Munich,cmny0jd5o10nkohpby199di9s,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,7175465,49,50000,1,physical_duelists,0,"1,770,508,800,000",
cmny0jd6g10q6ohpbjgp50rrc,Bayer Leverkusen,cmny0jd5o10nkohpby199di9s,"4-4-2",NORMAL,MIXED,NORMAL,MIXED,NORMAL,4719839,50,50000,1,balanced_control,0,"1,770,595,200,000",
cmny0jd6g10q8ohpbjurb4zd3,Borussia Dortmund,cmny0jd5o10nkohpby199di9s,"4-3-3",ATTACKING,MIXED,HARD,WINGS,MAXIMUM,2245337,46,50000,1,gegenpress_intense,0,"1,770,508,800,000",
cmny0jd6h10qaohpbgnu0hvkt,RB Leipzig,cmny0jd5o10nkohpby199di9s,"4-3-3",ATTACKING,MIXED,SOFT,WINGS,MAXIMUM,5664601,46,50000,1,youth_development,0,"1,770,854,400,000",
cmny0jd6i10qcohpbmcm11j04,VfB Stuttgart,cmny0jd5o10nkohpby199di9s,"4-4-2",NORMAL,DIRECT,NORMAL,MIXED,NORMAL,5027386,48,50000,1,moneyball_value,0,"1,770,422,400,000",
cmny0jd6i10qeohpbytl2jnpx,Paris Saint-Germain,cmny0jd5o10nkohpby199di9s,"4-4-2",NORMAL,DIRECT,HARD,CENTER,NORMAL,4756494,45,50000,1,physical_duelists,0,"1,771,372,800,000",
cmny0jd6j10qgohpb88a230or,Monaco,cmny0jd5o10nkohpby199di9s,"4-4-2",NORMAL,MIXED,NORMAL,MIXED,NORMAL,2920005,52,50000,1,balanced_control,0,"1,770,595,200,000",
cmny0jd6j10qiohpbnb76pc95,Lille,cmny0jd5o10nkohpby199di9s,"4-5-1",ULTRA_DEFENSIVE,DIRECT,NORMAL,WINGS,NORMAL,4776627,48,50000,1,low_block_counter,0,"1,770,681,600,000",
cmny0jd6k10qkohpbxovyk3ws,Marseille,cmny0jd5o10nkohpby199di9s,"4-5-1",ULTRA_DEFENSIVE,DIRECT,NORMAL,WINGS,NORMAL,2807945,47,50000,1,low_block_counter,0,"1,770,508,800,000",
cmny0jd6k10qmohpbuy8mdmha,Lyon,cmny0jd5o10nkohpby199di9s,"4-5-1",DEFENSIVE,SHORT,SOFT,CENTER,RESTRICTED,4805986,52,50000,1,defensive_steel,0,"1,770,595,200,000",
cmny0jd6l10qoohpbmj8fv7v7,Inter Milan,cmny0jd5o10nkohpby199di9s,"4-5-1",DEFENSIVE,SHORT,SOFT,CENTER,RESTRICTED,1743772,45,50000,1,defensive_steel,0,"1,770,854,400,000",
cmny0jd6m10qqohpbngr393jt,AC Milan,cmny0jd5o10nkohpby199di9s,"4-5-1",ULTRA_DEFENSIVE,DIRECT,NORMAL,WINGS,NORMAL,3301360,42,50000,1,low_block_counter,0,"1,771,372,800,000",
cmny0jd6m10qsohpbri92k25e,Juventus,cmny0jd5o10nkohpby199di9s,"4-5-1",DEFENSIVE,DIRECT,NORMAL,WINGS,MAXIMUM,2717540,51,50000,1,wing_counter_direct,0,"1,770,422,400,000",
cmny0jd6o10quohpbi2hdowuh,Napoli,cmny0jd5o10nkohpby199di9s,"4-3-3",NORMAL,SHORT,SOFT,CENTER,RESTRICTED,4270101,48,50000,1,possession_short_build,0,"1,771,545,600,000",
cmny0jd6p10qwohpb2ks0g6hd,AS Roma,cmny0jd5o10nkohpby199di9s,"4-3-3",ATTACKING,MIXED,HARD,WINGS,MAXIMUM,3053914,42,50000,1,gegenpress_intense,0,"1,770,508,800,000",
